Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	False	True	True	True
2	True	True	True	False	True	True	True	True
3	True	True	False	False	True	True	False	True
5	True	True	False	True	False	True	False	False
9	False	True	False	True	False	True	True	False
12	True	True	True	True	True	True	True	True
13	True	False	True	True	True	False	True	True
14	True	False	True	False	True	False	False	False
16	False	False	True	False	False	False	False	False
20	True	True	False	True	True	True	True	False
