Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	True	True	True	True	True	True	True	True	True	True
2	True	True	True	False	True	True	True	True	True	False	True
3	True	False	True	True	True	False	False	False	False	True	True
5	False	True	True	True	True	True	False	True	False	True	True
9	True	True	True	True	True	True	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True	True	True
13	False	True	False	True	True	True	False	True	True	False	True
14	False	False	False	True	True	True	True	True	True	False	True
16	False	True	False	True	False	False	False	True	True	False	False
20	False	False	True	True	True	True	True	True	False	False	False
