Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	True	True
2	True	True	True	True	True	True	True	True	True
3	True	False	False	True	True	True	True	False	False
5	True	False	False	False	False	False	False	True	True
9	True	True	True	True	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True
13	True	False	True	False	True	True	True	True	False
14	False	False	False	False	True	False	False	True	False
16	True	False	True	True	True	False	False	True	False
20	False	True	True	False	True	True	True	True	True
