Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	True	True
2	False	True	True	True	True	True	False	True	True
3	True	False	True	False	False	True	True	True	False
5	True	False	False	False	False	False	False	True	False
9	True	True	False	False	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True
13	True	True	True	False	True	True	True	True	True
14	False	True	False	False	True	False	False	True	False
16	True	False	True	False	False	False	False	True	False
20	True	True	True	False	True	True	True	False	True
