Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9
1	True	True	True	True	True	True	True	True	True
2	True	True	True	True	True	True	True	True	True
3	False	False	True	True	True	True	True	False	False
5	False	False	False	False	True	True	False	False	True
9	True	False	False	False	True	True	False	True	True
12	True	True	True	True	True	True	True	True	True
13	False	False	True	True	True	False	True	True	True
14	False	False	True	True	True	False	True	True	True
16	False	False	True	True	False	False	True	False	False
20	True	True	True	True	True	True	True	True	True
