Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	False	True
2	True	True	False	True	True	True	True	True
3	False	False	False	False	True	False	True	True
5	True	False	True	True	False	False	False	True
9	True	True	False	True	False	True	False	True
12	True	True	True	True	True	True	True	True
13	True	True	True	False	True	True	False	True
14	True	True	False	True	False	True	True	True
16	True	False	True	False	False	True	False	False
20	True	True	True	True	True	False	True	True
