Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	True	True	True	True	True	True	True	True	True	True
2	True	False	True	False	True	True	False	True	True	False	True
3	False	False	True	True	True	True	False	True	True	False	True
5	True	False	False	False	False	False	False	True	True	True	False
9	True	True	False	True	False	False	True	True	False	True	True
12	True	True	True	True	True	True	True	True	True	True	True
13	False	True	True	False	True	True	True	True	True	False	True
14	True	True	False	True	True	False	True	True	True	False	False
16	False	False	False	False	False	True	False	False	False	True	False
20	True	True	True	True	True	True	True	True	True	True	True
