Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	True	True	True	True	True	True	True	True	True	True	False
2	False	True	True	False	False	True	True	True	True	True	True
3	False	False	True	True	True	True	False	True	False	True	True
5	False	False	False	True	True	False	False	True	True	True	True
9	False	True	True	False	True	True	True	True	True	True	True
12	True	True	True	True	True	True	True	True	True	True	True
13	True	True	True	True	False	True	True	True	True	False	False
14	False	True	True	False	False	True	True	True	True	False	False
16	True	True	False	False	True	False	False	False	False	False	True
20	True	False	True	True	True	False	False	True	True	True	True
