Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	False	True	True	False	False	False
3	False	False	False	True	False	False	False	False
5	False	False	False	False	False	True	False	False
9	True	False	True	True	False	True	True	False
12	True	True	True	True	True	True	True	True
13	False	True	True	False	True	True	True	True
14	True	False	True	False	False	False	True	False
16	True	False	False	True	False	False	False	True
20	True	False	True	True	True	True	True	True
