Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11	Copy_12	Copy_13	Copy_14
1	True	True	True	True	True	True	True	True	True	True	True	True	True	True
2	True	True	True	True	True	True	True	True	False	True	True	True	True	True
3	False	False	False	True	False	True	True	False	False	False	False	False	True	True
5	True	True	True	True	False	False	False	True	False	False	False	False	True	True
9	False	True	True	True	True	True	True	True	True	True	True	True	False	False
12	True	True	True	True	True	True	True	True	False	True	True	False	True	True
13	True	False	True	True	True	True	True	True	True	True	True	False	True	False
14	False	True	True	True	False	True	False	True	True	False	False	False	False	True
16	True	True	False	False	False	False	False	False	False	True	False	False	False	False
20	True	True	True	True	False	False	False	True	True	True	False	True	True	True
