Repliccate,Gene_trees
252,"((((U,B),W),((S,(T,(((R,P),Q),O))),((N,M),((L,K),(J,(E,((H,D),(I,(G,(F,C)))))))))),A);"
340,"(((((U,V),W),B),((S,(((R,Q),O),P)),((((M,(N,L)),K),J),((F,G),((I,((H,E),D)),C))))),A);"
748,"((((((B,V),T),S),((((Q,P),O),R),(((((E,H),D),(F,(G,((N,(L,I)),K)))),J),C))),(U,W)),A);"
1053,"((((U,B),V),W),((T,(((R,Q),P),(S,O))),((F,((N,M),(L,K))),(((E,H),D),((I,J),(G,C))))));"
1057,"(((((U,W),V),B),((S,(P,((R,Q),O))),((M,(N,(L,K))),(J,((E,(H,D)),(((I,G),F),C)))))),A);"
1575,"((((W,V),B),((T,(S,((R,Q),P))),(((N,M),(L,K)),(J,((G,(I,(F,((E,H),D)))),C))))),A);"
1736,"((((B,W),U),(((R,(Q,P)),O),(T,(((N,M),(L,K)),(J,(F,((G,(H,(E,D))),(I,C)))))))),A);"
27,"(A,((((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(((E,H),D),(F,(I,(G,J)))))),V),(U,B)));"
262,"((((U,W),B),((T,(((R,Q),P),(S,O))),((N,M),((L,((H,(E,D)),K)),(((F,G),I),C))))),A);"
843,"((((U,B),V),((S,((T,P),((R,Q),O))),(((N,M),(L,K)),(I,(G,(F,(E,(J,((H,D),C))))))))),A);"
950,"(((((U,B),V),W),((T,(S,((R,Q),(P,O)))),(((N,M),K),(L,((((E,H),D),J),((F,C),G)))))),A);"
1550,"((((W,V),(U,B)),((T,(S,(((R,O),P),Q))),((F,(I,(((H,D),E),(((N,M),L),K)))),((G,J),C)))),A);"
773,"((((U,B),V),((S,(T,(((R,Q),P),O))),(((N,M),(L,K)),((F,G),(((H,(E,D)),J),(I,C)))))),A);"
1371,"(A,((((U,B),V),W),((T,(S,((R,Q),(P,O)))),(((N,M),J),(K,(L,(((E,H),D),((F,G),C))))))));"
1629,"(((((U,B),W),V),((T,(S,(R,(Q,(P,O))))),(((N,M),(L,K)),(J,(G,((F,(H,D)),C)))))),A);"
893,"(((U,(B,W)),V),((T,(S,(((Q,R),P),O))),(((N,M),(L,K)),(J,(((F,(G,I)),(E,(H,D))),C)))));"
1056,"((((U,W),V),B),((S,(T,(Q,(R,(P,O))))),(J,((((((F,G),E),H),D),((N,M),(L,K))),C))));"
